OBJECTID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,CreationDate,Creator,EditDate,Editor,Shape__Area,Shape__Length,GlobalID
118,KIMO,Lands - http://landsnet.nps.gov/tractsnet/documents/KIMO/Metadata/kimo_metadata.xml,Kings Mountain National Military Park,2011/06/27 00:00:00+00,SC,SE,1223739,National Military Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2174271,Kings Mountain,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:20:49.618+00,RJohnson@nps.gov_nps,23836721.1992188,22120.4400363542,480f7763-f86f-4ee5-a722-25568e0546f3
119,GOSP,Lands - http://landsnet.nps.gov/tractsnet/documents/GOSP/Metadata/gosp_metadata.xml,Golden Spike National Historical Park,2011/02/17 00:00:00+00,UT,IM,1428242,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175723,Golden Spike,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2021/01/10 21:53:56.934+00,RJohnson@nps.gov_nps,19348834.625,73082.5358231675,0f0e151d-d739-4539-ab12-b6ec9709f0e0
120,NEBE,Lands - http://landsnet.nps.gov/tractsnet/documents/NEBE/Metadata/nebe_metadata.xml,New Bedford Whaling National Historical Park,2011/07/15 00:00:00+00,MA,NE,2733436,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175722,New Bedford Whaling,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:21:05.157+00,RJohnson@nps.gov_nps,225913.57421875,2356.79673649804,772744b5-625d-4420-8658-21258b9ee575
121,SAHI,Lands - http://landsnet.nps.gov/tractsnet/documents/SAHI/Metadata/sahi_metadata.xml,Sagamore Hill National Historic Site,2011/07/29 00:00:00+00,NY,NE,970557,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175728,Sagamore Hill,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:21:11.095+00,RJohnson@nps.gov_nps,586867.921875,6137.98946259183,f2f4ba79-5412-4370-a6f5-896d35f86732
122,LABE,Lands - http://landsnet.nps.gov/tractsnet/documents/LABE/Metadata/labe_metadata.xml,Lava Beds National Monument,2011/09/06 00:00:00+00,CA,PW,262358,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175724,Lava Beds,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:21:19.720+00,RJohnson@nps.gov_nps,340718248.703125,98385.0246128775,8551bf14-a6fa-4157-bc2a-f01c22367609
123,WORI,Lands - http://landsnet.nps.gov/tractsnet/documents/WORI/Metadata/wori_metadata.xml,Women's Rights National Historical Park,2011/08/19 00:00:00+00,NY,NE,1888975,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175720,Women's Rights,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:21:26.605+00,RJohnson@nps.gov_nps,56856.8671875,2486.26683150852,10c082b2-6832-4b08-99e0-a02cbbfbcf98
124,GERO,Lands - http://landsnet.nps.gov/tractsnet/documents/GERO/Metadata/gero_metadata.xml,George Rogers Clark National Historical Park,2010/08/18 00:00:00+00,IN,MW,447197,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180622,George Rogers Clark,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:21:32.877+00,RJohnson@nps.gov_nps,161979.5,2367.45131079914,4d998b93-8dbc-46a5-ad2d-59d9836827f0
125,LONG,Lands - http://landsnet.nps.gov/tractsnet/documents/LONG/Metadata/long_metadata.xml,Longfellow House-Washington's Headquarters National Historic Site,2011/04/18 00:00:00+00,MA,NE,2733437,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180626,Longfellow,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:21:42.327+00,RJohnson@nps.gov_nps,14413.99609375,488.00658288204,c253fd24-a1f2-4542-b9c1-55b032a1fc24
126,HOFU,Lands - http://landsnet.nps.gov/tractsnet/documents/HOFU/Metadata/hofu_metadata.xml,Hopewell Furnace National Historic Site,2011/08/17 00:00:00+00,PA,NE,1193717,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180623,Hopewell Furnace,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:21:49.505+00,RJohnson@nps.gov_nps,5895031.24609375,14014.7605740126,e72f5f5a-9f1b-4d57-9c52-a1a9260f9bff
128,MOCA,Lands - http://landsnet.nps.gov/tractsnet/documents/MOCA/Metadata/moca_metadata.xml,Montezuma Castle National Monument,2011/09/20 00:00:00+00,AZ,IM,31964,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180624,Montezuma Castle,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:22:06.275+00,RJohnson@nps.gov_nps,6060542.6796875,15908.5510732159,2abdbf14-93ef-442e-b389-45d1afac6372
129,KICA,Lands - http://landsnet.nps.gov/tractsnet/documents/KICA/Metadata/kica_metadata.xml,Kings Canyon National Park,2011/10/17 00:00:00+00,CA,PW,255948,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180625,Kings Canyon,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:22:13.109+00,RJohnson@nps.gov_nps,2909305718.02734,393124.543928797,9678117e-145f-4780-8b84-abd99fa2f563
130,SPAR,Lands - http://landsnet.nps.gov/tractsnet/documents/SPAR/Metadata/spar_metadata.xml,Springfield Armory National Historic Site,2011/10/18 00:00:00+00,MA,NE,1888963,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180629,Springfield Armory,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:22:18.834+00,RJohnson@nps.gov_nps,396708.97265625,2507.49259797897,b1963e63-d4bb-41b0-a589-4a8662371b2d
131,WHMI,Lands - http://landsnet.nps.gov/tractsnet/documents/WHMI/Metadata/whmi_metadata.xml,Whitman Mission National Historic Site,2011/10/27 00:00:00+00,WA,PW,1531185,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2180628,Whitman Mission,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:22:25.399+00,RJohnson@nps.gov_nps,1165190.578125,6356.421331564,74d96ba4-225b-4775-bd8a-b616ccf99001
132,WWII,Lands - http://landsnet.nps.gov/tractsnet/documents/WWII/Metadata/wwii_metadata.xml,World War II Memorial,2011/11/03 00:00:00+00,DC,NC,1989142,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181142,World War II Memorial,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:22:32.241+00,RJohnson@nps.gov_nps,57408.41015625,1049.68386067523,1dcb8460-5cf3-4393-aa08-748eefe6306e
133,VIVE,Lands - http://landsnet.nps.gov/tractsnet/documents/VIVE/Metadata/vive_metadata.xml,Vietnam Veterans Memorial,2011/11/03 00:00:00+00,DC,NC,531832,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181139,Vietnam Veterans,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:22:38.897+00,RJohnson@nps.gov_nps,14616.52734375,519.101063042608,b8e16176-e683-45e2-99e1-55984e68aa95
134,KOWA,Lands - http://landsnet.nps.gov/tractsnet/documents/KOWA/Metadata/kowa_metadata.xml,Korean War Veterans Memorial,2011/11/03 00:00:00+00,DC,NC,1985525,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181130,Korean War Veterans,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:22:45.210+00,RJohnson@nps.gov_nps,10418.4453125,511.950708886415,349eab73-a609-4c4a-a4d5-008d622e1db7
135,COGA,Lands - http://landsnet.nps.gov/tractsnet/documents/COGA/Metadata/coga_metadata.xml,Constitution Gardens,2011/11/03 00:00:00+00,DC,NC,530610,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181119,Constitution Gardens,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:22:52.579+00,RJohnson@nps.gov_nps,285615.6953125,3334.1020898551,f04893a5-1e15-48ee-be3f-94ec4131110e
136,MLKM,Lands - http://landsnet.nps.gov/tractsnet/documents/MLKM/Metadata/mlkm_metadata.xml,"Martin Luther King, Jr., Memorial",2011/11/04 00:00:00+00,DC,NC,2002666,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181664,Martin Luther King Jr,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:22:59.093+00,RJohnson@nps.gov_nps,18329.2265625,803.86522650581,538a4a32-8375-4463-aa61-085280e05e38
137,LINC,Lands - http://landsnet.nps.gov/tractsnet/documents/LINC/Metadata/linc_metadata.xml,Lincoln Memorial,2011/11/04 00:00:00+00,DC,NC,531835,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181132,Lincoln,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:23:09.127+00,RJohnson@nps.gov_nps,48757.29296875,785.315565261774,f58a2845-f9ce-461f-82cc-1364a0bd4862
138,MALL,Lands - http://landsnet.nps.gov/tractsnet/documents/MALL/Metadata/mall_metadata.xml,National Mall,2011/10/06 00:00:00+00,DC,NC,2733438,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181133,National Mall,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:23:17.545+00,RJohnson@nps.gov_nps,1154397.69140625,5178.95275090857,a06708dc-8516-4196-a610-4e04cebdc541
139,RUCA,Lands - http://landsnet.nps.gov/tractsnet/documents/RUCA/Metadata/ruca_metadata.xml,Russell Cave National Monument,2011/11/02 00:00:00+00,AL,SE,126026,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2181138,Russell Cave,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:23:23.992+00,RJohnson@nps.gov_nps,1743928.86328125,7628.47433308673,2eda9d12-50dd-431a-9dbf-5ac3afd2d748
140,MAWA,Lands - http://landsnet.nps.gov/tractsnet/documents/MAWA/Metadata/mawa_metadata.xml,Maggie L. Walker National Historic Site,2011/11/30 00:00:00+00,VA,NE,1780716,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182230,Maggie L. Walker,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:23:31.151+00,RJohnson@nps.gov_nps,8394.59765625,549.226537532063,cb8b12fb-a42b-42a6-acc6-1ea5c50fc256
141,BICA,Lands - http://landsnet.nps.gov/tractsnet/documents/BICA/Metadata/bica_metadata.xml,Bighorn Canyon National Recreation Area,2012/01/11 00:00:00+00,WY,IM,767934,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182227,Bighorn Canyon,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:23:37.719+00,RJohnson@nps.gov_nps,974301199.132813,432691.098711629,7e62c884-4aed-4c5f-87f8-697be07bfff9
142,PUHO,Lands - http://landsnet.nps.gov/tractsnet/documents/PUHO/Metadata/puho_metadata.xml,Pu'uhonua o Honaunau National Historical Park,2012/01/13 00:00:00+00,HI,PW,358732,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182236,Pu`uhonua O Honaunau,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:23:43.468+00,RJohnson@nps.gov_nps,1927680.3125,16221.0999016212,ececd8b8-6151-4ef2-8dc3-e51af762f8f4
143,SAND,Lands - http://landsnet.nps.gov/tractsnet/documents/SAND/Metadata/sand_metadata.xml,Sand Creek Massacre National Historic Site,2012/03/05 00:00:00+00,CO,IM,2127375,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2185781,Sand Creek Massacre,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:23:49.448+00,RJohnson@nps.gov_nps,83063902.3046875,41111.1732226664,3d2c59f8-37f6-4d7a-8a3f-db2ab2ec176e
144,KNRI,Lands - http://landsnet.nps.gov/tractsnet/documents/KNRI/Metadata/knri_metadata.xml,Knife River Indian Villages National Historic Site,2012/04/03 00:00:00+00,ND,MW,1888938,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2185777,Knife River Indian Villages,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:23:55.519+00,RJohnson@nps.gov_nps,15618816.9414063,27551.8919026391,bbf2d41d-57e2-4079-a995-69c4c3b69122
145,MORR,Lands - http://landsnet.nps.gov/tractsnet/documents/MORR/Metadata/morr_metadata.xml,Morristown National Historical Park,2012/02/23 00:00:00+00,NJ,NE,878495,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188829,Morristown,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:24:01.737+00,RJohnson@nps.gov_nps,11942534.9726563,35698.8639020808,b0e3fe97-9174-49a1-8647-dfc4e70d0446
146,MAVA,Lands - http://landsnet.nps.gov/tractsnet/documents/MAVA/Metadata/mava_metadata.xml,Martin Van Buren National Historic Site,2012/07/18 00:00:00+00,NY,NE,1888943,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188828,Martin Van Buren,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:24:08.140+00,RJohnson@nps.gov_nps,2202209.578125,11384.9704647718,aedf4e34-922b-4970-86ef-0da04044a9ad
147,GOIS,Lands - http://landsnet.nps.gov/tractsnet/documents/GOIS/Metadata/gois_metadata.xml,Governors Island National Monument,2012/08/15 00:00:00+00,NY,NE,2092022,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188823,Governors Island,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:24:14.559+00,RJohnson@nps.gov_nps,160551.875,2618.47633103939,b67804b5-93dd-48c7-95aa-8394197b1250
148,SCBL,Lands - http://landsnet.nps.gov/tractsnet/documents/SCBL/Metadata/scbl_metadata.xml,Scotts Bluff National Monument,2012/08/13 00:00:00+00,NE,MW,833315,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188825,Scotts Bluff,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:24:24.296+00,RJohnson@nps.gov_nps,23469485.3125,24943.760429443,b44ed8d2-2ff4-41c7-ab16-a5e5d6249eb2
149,JOFL,Lands - http://landsnet.nps.gov/tractsnet/documents/JOFL/Metadata/jofl_metadata.xml,Johnstown Flood National Memorial,2012/08/28 00:00:00+00,PA,NE,1200751,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188827,Johnstown Flood,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:24:31.388+00,RJohnson@nps.gov_nps,1253202.75390625,8381.761536931,36e2a4f1-4464-41dc-b19f-6f9171b9eec1
150,AGFO,Lands - http://landsnet.nps.gov/tractsnet/documents/AGFO/Metadata/agfo_metadata.xml,Agate Fossil Beds National Monument,2012/11/27 00:00:00+00,NE,MW,826917,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2192756,Agate Fossil Beds,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:24:38.035+00,RJohnson@nps.gov_nps,22628044.3476563,35522.3096459269,096cb4f6-1fea-428c-8bc8-0384f6e80e66
151,RRBH,Lands - http://landsnet.nps.gov/tractsnet/documents/RRBH/Metadata/rrbh_metadata.xml,Ronald Reagan Boyhood Home National Historic Site,2013/01/03 00:00:00+00,IL,MW,2733441,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2192766,Ronald Reagan Boyhood Home,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:24:44.394+00,RJohnson@nps.gov_nps,7381.06640625,490.520037658226,4c10cf0c-f757-4142-9a48-5816d6885ff3
152,CARE,Lands - http://landsnet.nps.gov/tractsnet/documents/CARE/Metadata/care_metadata.xml,Capitol Reef National Park,2012/12/03 00:00:00+00,UT,IM,1434866,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2192759,Capitol Reef,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:24:51.368+00,RJohnson@nps.gov_nps,1605718361.44922,405763.198028642,f891e790-fd34-4795-93d6-0157acb5b71f
153,FLNI,Lands - http://landsnet.nps.gov/tractsnet/documents/FLNI/Metadata/flni_metadata.xml,Flight 93 National Memorial,2013/02/05 00:00:00+00,PA,NE,1986830,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2194468,Flight 93,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:24:57.864+00,RJohnson@nps.gov_nps,15660815.1914063,23713.4431241572,667a5ff0-1837-433c-a833-a52805002097
154,DEPO,Lands - http://landsnet.nps.gov/tractsnet/documents/DEPO/Metadata/depo_metadata.xml,Devils Postpile National Monument,2013/01/25 00:00:00+00,CA,PW,266641,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2194467,Devils Postpile,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:25:04.505+00,RJohnson@nps.gov_nps,5164892.5078125,12213.1986818957,1a89e372-c404-461d-a901-aba160065bdf
155,SAFR,Lands - http://landsnet.nps.gov/tractsnet/documents/SAFR/Metadata/safr_metadata.xml,San Francisco Maritime National Historical Park,2013/02/19 00:00:00+00,CA,PW,1877542,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2194486,San Francisco Maritime,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:25:10.880+00,RJohnson@nps.gov_nps,644204.31640625,3728.65973004038,7d6f3c48-78c4-4855-a373-e939ca2e8451
157,VICR,Lands - http://landsnet.nps.gov/tractsnet/documents/vicr/Metadata/vicr_metadata.xml,Virgin Islands Coral Reef National Monument,2013/04/04 00:00:00+00,VI,SE,2733450,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2194489,Virgin Islands Coral Reef,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:25:26.633+00,RJohnson@nps.gov_nps,62764770.1191406,70251.425682551,6eda6fb8-622c-4230-8b23-91e1522617cc
158,MABI,Lands - http://landsnet.nps.gov/tractsnet/documents/MABI/Metadata/mabi_metadata.xml,Marsh-Billings-Rockefeller National Historical Park,2011/09/21 00:00:00+00,VT,NE,1888942,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196723,Marsh - Billings - Rockefeller,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:25:32.102+00,RJohnson@nps.gov_nps,4988704.0234375,16454.0427667445,476b9dfe-085c-4514-ac3c-a368959ef97e
159,LIRI,Lands - http://landsnet.nps.gov/tractsnet/documents/LIRI/METADATA/liri_metadata.xml,Little River Canyon National Preserve,2013/04/29 00:00:00+00,AL,SE,1888939,National Preserve,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196722,Little River Canyon,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:25:39.961+00,RJohnson@nps.gov_nps,91891968.2539063,131916.507991367,805f2171-1bd4-47d7-804c-8f9e65cccdf2
160,CHYO,Lands - http://landsnet.nps.gov/tractsnet/documents/CHYO/METADATA/chyo_metadata.xml,Charles Young Buffalo Soldiers National Monument,2013/06/03 00:00:00+00,OH,MW,2736075,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196730,Charles Young Buffalo Soldiers,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:25:45.784+00,RJohnson@nps.gov_nps,412688.203125,3364.28056278884,ead9ad45-43cf-4c5e-8ecd-d98e9af45e4c
161,DAAV,Lands - http://landsnet.nps.gov/tractsnet/documents/DAAV/METADATA/daav_metadata.xml,Dayton Aviation Heritage National Historical Park,2013/05/30 00:00:00+00,OH,MW,1083940,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196729,Dayton Aviation Heritage,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:25:51.497+00,RJohnson@nps.gov_nps,779956.23046875,6679.67618362309,16af5568-2c81-444c-9f26-8d0e2cf1f64f
162,EISE,Lands - http://landsnet.nps.gov/tractsnet/documents/EISE/METADATA/eise_metadata.xml,Eisenhower National Historic Site,2013/07/08 00:00:00+00,PA,NE,1888912,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196717,Eisenhower,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:25:57.626+00,RJohnson@nps.gov_nps,4756910.203125,14050.0967573224,fbec1372-b917-4ec8-b362-7e457954da18
163,CECH,Lands - http://landsnet.nps.gov/tractsnet/documents/CECH/Metadata/cech_metadata.xml,Cesar E. Chavez National Monument,2013/02/05 00:00:00+00,CA,PW,2754548,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2208007,César E. Chávez,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:26:04.457+00,RJohnson@nps.gov_nps,714654.77734375,4541.23583468083,54e8f2aa-2738-4327-9abd-6fd9dc4594e3
164,FONE,Lands - http://landsnet.nps.gov/tractsnet/documents/FONE/METADATA/fone_metadata.xml,Fort Necessity National Battlefield,2013/09/24 00:00:00+00,PA,NE,1193713,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2208012,Fort Necessity,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:26:10.522+00,RJohnson@nps.gov_nps,6290267.11328125,18001.8088563834,ef9bafbd-20b7-4649-a6a0-a32c8163fb11
166,SAPU,Lands - http://landsnet.nps.gov/tractsnet/documents/SAPU/METADATA/sapu_metadata.xml,Salinas Pueblo Missions National Monument,2013/11/27 00:00:00+00,NM,IM,936877,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2208008,Salinas Pueblo Missions,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:26:16.414+00,RJohnson@nps.gov_nps,6379382.5546875,22270.2064459076,2ef85a22-8e31-4495-a148-000e62858322
167,PINN,Lands - http://landsnet.nps.gov/tractsnet/documents/PINN/METADATA/pinn_metadata.xml,Pinnacles National Park,2014/02/05 00:00:00+00,CA,PW,247533,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2208014,Pinnacles,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:26:24.205+00,RJohnson@nps.gov_nps,167545646.507813,95099.5602317817,747e3728-ac56-4742-925a-5a80cc8010c7
168,FOMC,Lands - http://landsnet.nps.gov/tractsnet/documents/FOMC/METADATA/fomc_metadata.xml,Fort McHenry National Monument and Historic Shrine,2012/01/13 00:00:00+00,MD,NE,595218,National Monument and Historic Shrine,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210703,Fort McHenry,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:26:30.193+00,RJohnson@nps.gov_nps,315838.43359375,2454.0100928752,c357ddce-76a1-463a-b406-1d88db8c6ea1
169,SAIR,Lands - http://landsnet.nps.gov/tractsnet/documents/SAIR/METADATA/sair_metadata.xml,Saugus Iron Works National Historic Site,2014/06/09 00:00:00+00,MA,NE,600017,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210711,Saugus Iron Works,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:26:40.949+00,RJohnson@nps.gov_nps,94291.515625,2038.45293847951,d01bac52-1182-4f43-9042-e2d5bdbf478e
170,ROWI,Lands - http://landsnet.nps.gov/tractsnet/documents/ROWI/Metadata/rowi_metadata.xml,Roger Williams National Memorial,2011/09/30 00:00:00+00,RI,NE,1904107,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215978,Roger Williams,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:26:48.867+00,RJohnson@nps.gov_nps,33122.4140625,986.148595913601,da051fd7-24df-4180-a3bd-9fe28d5f7fe5
172,CHRI,Lands - http://landsnet.nps.gov/tractsnet/documents/CHRI/Metadata/chri_metadata.xml,Christiansted National Historic Site,2014/06/19 00:00:00+00,VI,SE,1993781,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2218479,Christiansted,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:27:01.162+00,RJohnson@nps.gov_nps,116677.500976563,2308.1103101213,750a180d-21c6-4478-acea-7c238002a4a3
173,ALPO,Lands - http://landsnet.nps.gov/tractsnet/documents/ALPO/Metadata/alpo_metadata.xml,Allegheny Portage Railroad National Historic Site,2014/08/04 00:00:00+00,PA,NE,1214216,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215968,Allegheny Portage Railroad,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:27:08.395+00,RJohnson@nps.gov_nps,9165311.40234375,57275.1632942749,9d6e702c-897a-41e7-92b0-5cde95437bb5
174,DESO,Lands - http://landsnet.nps.gov/tractsnet/documents/DESO/Metadata/deso_metadata.xml,De Soto National Memorial,2014/08/07 00:00:00+00,FL,SE,294586,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215972,De Soto,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:27:14.362+00,RJohnson@nps.gov_nps,156650.923828125,2595.17165608043,bb6dd0f3-a6ef-4da6-a040-1debb1047b9b
175,ANDE,Lands - http://landsnet.nps.gov/tractsnet/documents/ANDE/Metadata/ande_metadata.xml,Andersonville National Historic Site,2014/08/19 00:00:00+00,GA,SE,310534,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215967,Andersonville,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:27:21.742+00,RJohnson@nps.gov_nps,2953276.82421875,8539.02980699101,161ac370-5656-4183-a5af-c5e786fb1c2c
177,COWP,Lands - http://landsnet.nps.gov/tractsnet/documents/COWP/Metadata/cowp_metadata.xml,Cowpens National Battlefield,2014/09/17 00:00:00+00,SC,SE,1247412,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2218478,Cowpens,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:27:35.735+00,RJohnson@nps.gov_nps,5131854.32421875,13385.2613347463,0474a74d-17c4-487b-ab4a-c65e4dcadc20
178,CHIR,Lands - http://landsnet.nps.gov/tractsnet/documents/CHIR/Metadata/chir_metadata.xml,Chiricahua National Monument,2014/09/10 00:00:00+00,AZ,IM,2877,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047934,Chiricahua,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:27:45.743+00,RJohnson@nps.gov_nps,68895752.640625,38291.8549482812,655dbbdb-66bc-46da-8c4e-374e427129c6
